keyword,match_where,priority,gender,collection_handle,collection_title,notes
dress,any,10,women,womens-dresses,womens-dresses,
gown,any,12,women,womens-dresses,womens-dresses,
midi,title,15,women,womens-dresses,womens-dresses,
maxi,title,15,women,womens-dresses,womens-dresses,
jumpsuit,any,10,women,womens-dresses,womens-dresses,
romper,any,10,women,womens-dresses,womens-dresses,
blouse,any,10,women,womens-tops,womens-tops,
top,any,20,women,womens-tops,womens-tops,Broad word — lower priority
tee,any,10,women,womens-tops,womens-tops,
t-shirt,any,10,women,womens-tops,womens-tops,
tank,any,10,women,womens-tops,womens-tops,
shirt,any,15,women,womens-tops,womens-tops,Women's shirts
sweater,any,10,women,womens-tops,womens-tops,
cardigan,any,10,women,womens-tops,womens-tops,
hoodie,any,10,women,womens-tops,womens-tops,No womens-outerwear — tops collection
jean,any,10,women,womens-bottoms,womens-bottoms,
denim,any,12,women,womens-bottoms,womens-bottoms,
pant,any,10,women,womens-bottoms,womens-bottoms,
trouser,any,10,women,womens-bottoms,womens-bottoms,
chino,any,10,women,womens-bottoms,womens-bottoms,
skirt,any,10,women,womens-bottoms,womens-bottoms,
short,any,10,women,womens-bottoms,womens-bottoms,
legging,any,10,women,womens-bottoms,womens-bottoms,Lululemon — no activewear collection
jogger,any,10,women,womens-bottoms,womens-bottoms,
sports bra,any,10,women,womens-intimates,womens-intimates,
bodysuit,any,10,women,womens-intimates,womens-intimates,Skims
bra,any,10,women,womens-intimates,womens-intimates,
underwear,any,10,women,womens-intimates,womens-intimates,
lingerie,any,10,women,womens-intimates,womens-intimates,
intimates,any,10,women,womens-intimates,womens-intimates,
jacket,any,10,women,womens-tops,womens-tops,Until womens-outerwear added
coat,any,10,women,womens-tops,womens-tops,Until womens-outerwear added
blazer,any,10,women,womens-tops,womens-tops,
boot,any,10,women,womens-shoes,womens-shoes,
sneaker,any,10,women,womens-shoes,womens-shoes,
heel,any,10,women,womens-shoes,womens-shoes,
sandal,any,10,women,womens-shoes,womens-shoes,
bag,any,10,women,womens-accessories,womens-accessories,
belt,any,10,women,womens-accessories,womens-accessories,
hat,any,10,women,womens-accessories,womens-accessories,
scarf,any,10,women,womens-accessories,womens-accessories,
wallet,any,10,women,womens-accessories,womens-accessories,
watch,any,10,women,womens-accessories,womens-accessories,
jewelry,any,10,women,womens-accessories,womens-accessories,
necklace,any,10,women,womens-accessories,womens-accessories,
ring,any,10,women,womens-accessories,womens-accessories,
shirt,any,10,men,mens-shirts,mens-shirts,
linen,title,12,men,mens-shirts,mens-shirts,
polo,any,10,men,mens-shirts,mens-shirts,
tee,any,10,men,mens-shirts,mens-shirts,
jean,any,10,men,mens-pants,mens-pants,
pant,any,10,men,mens-pants,mens-pants,
chino,any,10,men,mens-pants,mens-pants,
trouser,any,10,men,mens-pants,mens-pants,
short,any,10,men,mens-pants,mens-pants,
jogger,any,10,men,mens-pants,mens-pants,No mens-activewear collection
jacket,any,10,men,mens-outerwear,mens-outerwear,
coat,any,10,men,mens-outerwear,mens-outerwear,
hoodie,any,10,men,mens-outerwear,mens-outerwear,
fleece,any,10,men,mens-outerwear,mens-outerwear,
boot,any,10,men,mens-shoes,mens-shoes,
sneaker,any,10,men,mens-shoes,mens-shoes,
loafer,any,10,men,mens-shoes,mens-shoes,
bag,any,10,men,mens-accessories,mens-accessories,
belt,any,10,men,mens-accessories,mens-accessories,
hat,any,10,men,mens-accessories,mens-accessories,
wallet,any,10,men,mens-accessories,mens-accessories,
watch,any,10,men,mens-accessories,mens-accessories,
tie,any,10,men,mens-accessories,mens-accessories,
kids,any,5,kids,kids,kids,Any kids product
kid,any,8,kids,kids,kids,
boys,any,5,kids,kids,kids,
boy,any,8,kids,kids,kids,
girls,any,5,kids,kids,kids,
girl,any,8,kids,kids,kids,
toddler,any,5,kids,kids,kids,
baby,any,5,kids,kids,kids,
youth,any,5,kids,kids,kids,
children,any,5,kids,kids,kids,
/kids/,url,3,kids,kids,kids,
/boys/,url,3,kids,kids,kids,
/girls/,url,3,kids,kids,kids,
/children/,url,3,kids,kids,kids,
/men/,url,5,men,,,Gender hint
/women/,url,5,women,,,Gender hint
/mujer/,url,5,women,,,Mango ES
/hombre/,url,5,men,,,Mango ES
/shirts/,url,8,men,mens-shirts,mens-shirts,
/dresses/,url,8,women,womens-dresses,womens-dresses,
/linen/,url,10,men,mens-shirts,mens-shirts,
