domain,vendor,notes
zara.com,Zara,
shop.mango.com,Mango,
mango.com,Mango,
everlane.com,Everlane,
express.com,Express,
fashionnova.com,Fashion Nova,
macys.com,Macy's,Marketplace — vendor may vary
shop.lululemon.com,Lululemon,
lululemon.com,Lululemon,
matethelabel.com,MATE the Label,
universalstandard.com,Universal Standard,
shopdoen.com,Dôen,
patagonia.com,Patagonia,
tecovas.com,Tecovas,
blackhalo.com,Black Halo,
losangelesapparel.net,Los Angeles Apparel,
levi.com,Levi's,
ralphlauren.com,Ralph Lauren,
calvinklein.us,Calvin Klein,
gap.com,Gap,
usa.tommy.com,Tommy Hilfiger,
tommy.com,Tommy Hilfiger,
abercrombie.com,Abercrombie & Fitch,
originusa.com,Origin,
skims.com,Skims,
