lookup_table,keyword,match_where,priority,gender,product_type,variant_profile,collection_handle,collection_title,shopify_taxonomy_keyword,vendor,domain,status,notes
shopify_collection,,,,,,,kids,kids,,,,CREATED,Your store — all kids/boys/girls products
shopify_collection,,,,,,,mens-accessories,mens-accessories,,,,CREATED,Bags belts hats wallets watches jewelry
shopify_collection,,,,,,,womens-accessories,womens-accessories,,,,CREATED,Bags belts hats scarves jewelry
shopify_collection,,,,,,,mens-shoes,mens-shoes,,,,CREATED,Boots sneakers loafers
shopify_collection,,,,,,,womens-shoes,womens-shoes,,,,CREATED,Heels boots sneakers sandals
shopify_collection,,,,,,,mens-outerwear,mens-outerwear,,,,CREATED,Jackets coats hoodies fleece
shopify_collection,,,,,,,mens-pants,mens-pants,,,,CREATED,Jeans chinos trousers shorts
shopify_collection,,,,,,,mens-shirts,mens-shirts,,,,CREATED,All shirt types
shopify_collection,,,,,,,womens-intimates,womens-intimates,,,,CREATED,Underwear bodysuits bras Skims
shopify_collection,,,,,,,womens-bottoms,womens-bottoms,,,,CREATED,Jeans pants skirts leggings shorts
shopify_collection,,,,,,,womens-tops,womens-tops,,,,CREATED,Shirts blouses tees sweaters tanks — NOT jackets/coats
shopify_collection,,,,,,,womens-outerwear,womens-outerwear,,,,CREATED,Jackets coats blazers hoodies fleece — separate from tops
shopify_collection,,,,,,,womens-dresses,womens-dresses,,,,CREATED,Dresses jumpsuits rompers
collection_map,dress,any,10,women,,,womens-dresses,womens-dresses,,,,,
collection_map,gown,any,12,women,,,womens-dresses,womens-dresses,,,,,
collection_map,midi,title,15,women,,,womens-dresses,womens-dresses,,,,,
collection_map,maxi,title,15,women,,,womens-dresses,womens-dresses,,,,,
collection_map,jumpsuit,any,10,women,,,womens-dresses,womens-dresses,,,,,
collection_map,romper,any,10,women,,,womens-dresses,womens-dresses,,,,,
collection_map,blouse,any,10,women,,,womens-tops,womens-tops,,,,,
collection_map,top,any,20,women,,,womens-tops,womens-tops,,,,,Broad word — lower priority
collection_map,tee,any,10,women,,,womens-tops,womens-tops,,,,,
collection_map,t-shirt,any,10,women,,,womens-tops,womens-tops,,,,,
collection_map,tank,any,10,women,,,womens-tops,womens-tops,,,,,
